title	link	source	date	title_corrected
Café de Costa Rica resiste los embates de la pandemia - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL2NhZmUtZGUtY29zdGEtcmljYS1yZXNpc3RlLWxvcy1lbWJhdGVzLWRlLWxhLXBhbmRlbWlh0gFdaHR0cHM6Ly93d3cubGFyZXB1YmxpY2EubmV0L25vdGljaWEvY2FmZS1kZS1jb3N0YS1yaWNhLXJlc2lzdGUtbG9zLWVtYmF0ZXMtZGUtbGEtcGFuZGVtaWEvYW1w?oc=5	Periódico La República (Costa Rica)	2020-10-08	Café de Costa Rica resiste los embates de la pandemia
Alianza empresarial promete crecimiento de Forever 21 en Costa Rica - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL2FsaWFuemEtZW1wcmVzYXJpYWwtcHJvbWV0ZS1jcmVjaW1pZW50by1kZS1mb3JldmVyLTIxLWVuLWNvc3RhLXJpY2HSAWtodHRwczovL3d3dy5sYXJlcHVibGljYS5uZXQvbm90aWNpYS9hbGlhbnphLWVtcHJlc2FyaWFsLXByb21ldGUtY3JlY2ltaWVudG8tZGUtZm9yZXZlci0yMS1lbi1jb3N0YS1yaWNhL2FtcA?oc=5	Periódico La República (Costa Rica)	2020-10-19	Alianza empresarial promete crecimiento de Forever 21 en Costa Rica
¿Dónde y cómo ver Disney+ en Costa Rica a partir de hoy? - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL2RvbmRlLXktY29tby12ZXItZGlzbmV5LWVuLWNvc3RhLXJpY2EtYS1wYXJ0aXItZGUtaG950gFdaHR0cHM6Ly93d3cubGFyZXB1YmxpY2EubmV0L25vdGljaWEvZG9uZGUteS1jb21vLXZlci1kaXNuZXktZW4tY29zdGEtcmljYS1hLXBhcnRpci1kZS1ob3kvYW1w?oc=5	Periódico La República (Costa Rica)	2020-11-17	¿Dónde y cómo ver Disney+ en Costa Rica a partir de hoy?
Lea más: Nestlé Costa Rica fortalece su operación en el país - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL25lc3RsZS1jb3N0YS1yaWNhLWZvcnRhbGVjZS1zdS1vcGVyYWNpb24tZW4tZWwtcGFpc9IBAA?oc=5	Periódico La República (Costa Rica)	2020-12-01	Lea más: Nestlé Costa Rica fortalece su operación en el país
Gordon Ramsay está de visita en Costa Rica y saborea cocina limonense - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL2dvcmRvbi1yYW1zYXktZXN0YS1kZS12aXNpdGEtZW4tY29zdGEtcmljYS15LXNhYm9yZWEtY29jaW5hLWxpbW9uZW5zZdIBbWh0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL2dvcmRvbi1yYW1zYXktZXN0YS1kZS12aXNpdGEtZW4tY29zdGEtcmljYS15LXNhYm9yZWEtY29jaW5hLWxpbW9uZW5zZS9hbXA?oc=5	Periódico La República (Costa Rica)	2021-01-12	Gordon Ramsay está de visita en Costa Rica y saborea cocina limonense
Instacredit fortalece su operación en Costa Rica con facilidades electrónicas - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL2luc3RhY3JlZGl0LWZvcnRhbGVjZS1zdS1vcGVyYWNpb24tZW4tY29zdGEtcmljYS1jb24tZmFjaWxpZGFkZXMtZWxlY3Ryb25pY2Fz0gEA?oc=5	Periódico La República (Costa Rica)	2021-01-27	Instacredit fortalece su operación en Costa Rica con facilidades electrónicas
Costa Rica, los 'influencers' y la cadena de suministros - LexLatin	https://news.google.com/__i/rss/rd/articles/CBMiSmh0dHBzOi8vbGV4bGF0aW4uY29tL2VudHJldmlzdGFzL2Nvc3RhLXJpY2EtaW5mbHVlbmNlcnMtY2FkZW5hLXN1bWluaXN0cm9z0gEA?oc=5	LexLatin	2021-03-19	Costa Rica, los 'influencers' y la cadena de suministros
Costa Rica: la alumna estudiosa vuelve con ansias - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vZWxwYWlzLmNvbS9wbGFuZXRhLWZ1dHVyby8yMDIxLTAzLTI1L2Nvc3RhLXJpY2EtbGEtYWx1bW5hLWVzdHVkaW9zYS12dWVsdmUtY29uLWFuc2lhcy5odG1s0gFxaHR0cHM6Ly9lbHBhaXMuY29tL3BsYW5ldGEtZnV0dXJvLzIwMjEtMDMtMjUvY29zdGEtcmljYS1sYS1hbHVtbmEtZXN0dWRpb3NhLXZ1ZWx2ZS1jb24tYW5zaWFzLmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5	EL PAÍS	2021-03-24	Costa Rica: la alumna estudiosa vuelve con ansias
Famosos deportistas escogen Costa Rica para relajarse tras extenuantes temporadas - ESPN	https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3LmVzcG4uY29tLmFyL2Z1dGJvbC9jb3N0YS1yaWNhL25vdGEvXy9pZC84NDAzMjE3L2ZhbW9zb3MtYXRsZXRhcy1jb3N0YS1yaWNhLWRlcG9ydGlzdGFzLXZhY2FjaW9uZXMtcGFpcy1jb3N0YS1yaWNh0gGKAWh0dHBzOi8vd3d3LmVzcG4uY29tLmFyL2Z1dGJvbC9jb3N0YS1yaWNhL25vdGEvXy9pZC84NDAzMjE3L2ZhbW9zb3MtYXRsZXRhcy1jb3N0YS1yaWNhLWRlcG9ydGlzdGFzLXZhY2FjaW9uZXMtcGFpcy1jb3N0YS1yaWNhP3BsYXRmb3JtPWFtcA?oc=5	ESPN	2021-03-31	Famosos deportistas escogen Costa Rica para relajarse tras extenuantes temporadas
“No volvería a comprar un auto de combustión”: Dueño de un Tesla en Costa Rica - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL25vLXZvbHZlcmlhLWEtY29tcHJhci11bi1hdXRvLWRlLWNvbWJ1c3Rpb24tZHVlbm8tZGUtdW4tdGVzbGEtZW4tY29zdGEtcmljYdIBc2h0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL25vLXZvbHZlcmlhLWEtY29tcHJhci11bi1hdXRvLWRlLWNvbWJ1c3Rpb24tZHVlbm8tZGUtdW4tdGVzbGEtZW4tY29zdGEtcmljYS9hbXA?oc=5	Periódico La República (Costa Rica)	2021-04-16	“No volvería a comprar un auto de combustión”: Dueño de un Tesla en Costa Rica
