title	link	source	date	title_corrected	migracion
¿Por qué no hacemos lo que hizo Uruguay? - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9vcGluaW9uL3Bvci1xdWUtbm8taGFjZW1vcy1sby1oaXpvLXVydWd1YXktbmlkMjM3ODY0Ny_SAWFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvb3Bpbmlvbi9wb3ItcXVlLW5vLWhhY2Vtb3MtbG8taGl6by11cnVndWF5LW5pZDIzNzg2NDcvP291dHB1dFR5cGU9YW1w?oc=5	LA NACION	2020-06-12	¿Por qué no hacemos lo que hizo Uruguay?	0
"La carta de un argentino al presidente de Uruguay: ""¿Tiene previsto algún plan de contingencia para acoger una segura masiva inmigración productiva?"" - LA NACION"	https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9zb2NpZWRhZC9sYS1jYXJ0YS1hcmdlbnRpbm8tYWwtcHJlc2lkZW50ZS11cnVndWF5LW5pZDI0MTQwOTYv0gFoaHR0cHM6Ly93d3cubGFuYWNpb24uY29tLmFyL3NvY2llZGFkL2xhLWNhcnRhLWFyZ2VudGluby1hbC1wcmVzaWRlbnRlLXVydWd1YXktbmlkMjQxNDA5Ni8_b3V0cHV0VHlwZT1hbXA?oc=5	LA NACION	2020-08-06	"La carta de un argentino al presidente de Uruguay: ""¿Tiene previsto algún plan de contingencia para acoger una segura masiva inmigración productiva?"""	1
El peso argentino no vale nada en Uruguay - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9lY29ub21pYS9lbC1wZXNvLWFyZ2VudGluby1uby12YWxlLW5hZGEtdXJ1Z3VheS1uaWQyNDU4MTg4L9IBZmh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9lY29ub21pYS9lbC1wZXNvLWFyZ2VudGluby1uby12YWxlLW5hZGEtdXJ1Z3VheS1uaWQyNDU4MTg4Lz9vdXRwdXRUeXBlPWFtcA?oc=5	LA NACION	2020-09-23	El peso argentino no vale nada en Uruguay	0
Maradona, querido y eterno amigo de los uruguayos - republica.com.uy	https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3LnJlcHVibGljYS5jb20udXkvbWFyYWRvbmEtcXVlcmlkby15LWV0ZXJuby1hbWlnby1kZS1sb3MtdXJ1Z3VheW9zLWlkODAwMzEyL9IBAA?oc=5	republica.com.uy	2020-11-26	Maradona, querido y eterno amigo de los uruguayos	0
San Martín, el gran argentino que estuvo a punto de ser uruguayo - infobae	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LmluZm9iYWUuY29tL29waW5pb24vMjAyMC8xMi8xMS9zYW4tbWFydGluLWVsLWdyYW4tYXJnZW50aW5vLXF1ZS1lc3R1dm8tYS1wdW50by1kZS1zZXItdXJ1Z3VheW8v0gF_aHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vb3Bpbmlvbi8yMDIwLzEyLzExL3Nhbi1tYXJ0aW4tZWwtZ3Jhbi1hcmdlbnRpbm8tcXVlLWVzdHV2by1hLXB1bnRvLWRlLXNlci11cnVndWF5by8_b3V0cHV0VHlwZT1hbXAtdHlwZQ?oc=5	infobae	2020-12-11	San Martín, el gran argentino que estuvo a punto de ser uruguayo	0
El dólar cortó racha de tres subas seguidas en Uruguay, aunque completó alza semanal - Diario EL PAIS Uruguay	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LmVscGFpcy5jb20udXkvbmVnb2Npb3MvZmluYW56YXMvZG9sYXItY29ydG8tcmFjaGEtdHJlcy1zdWJhcy1zZWd1aWRhcy11cnVndWF5LWNvbXBsZXRvLWFsemEtc2VtYW5hbC5odG1s0gF4aHR0cHM6Ly93d3cuZWxwYWlzLmNvbS51eS9hbXAvbmVnb2Npb3MvZmluYW56YXMvZG9sYXItY29ydG8tcmFjaGEtdHJlcy1zdWJhcy1zZWd1aWRhcy11cnVndWF5LWNvbXBsZXRvLWFsemEtc2VtYW5hbC5odG1s?oc=5	Diario EL PAIS Uruguay	2020-12-26	El dólar cortó racha de tres subas seguidas en Uruguay, aunque completó alza semanal	0
Cerraron la Embajada de Uruguay en la Argentina, tras confirmar varios casos de coronavirus - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9wb2xpdGljYS9jZXJyYXJvbi1lbWJhamFkYS11cnVndWF5LWFyZ2VudGluYS1jb25maXJtYXItdmFyaW9zLWNhc29zLW5pZDI1OTY0ODEv0gF6aHR0cHM6Ly93d3cubGFuYWNpb24uY29tLmFyL3BvbGl0aWNhL2NlcnJhcm9uLWVtYmFqYWRhLXVydWd1YXktYXJnZW50aW5hLWNvbmZpcm1hci12YXJpb3MtY2Fzb3MtbmlkMjU5NjQ4MS8_b3V0cHV0VHlwZT1hbXA?oc=5	LA NACION	2021-02-09	Cerraron la Embajada de Uruguay en la Argentina, tras confirmar varios casos de coronavirus	0
Uruguay presentó una queja a la Argentina sobre los requisitos para los transportistas extranjeros por el COVID-19: “La decisión es discriminatoria” - infobae	https://news.google.com/__i/rss/rd/articles/CBMizAFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2FtZXJpY2EtbGF0aW5hLzIwMjEvMDQvMTUvdXJ1Z3VheS1wcmVzZW50by11bmEtcXVlamEtYS1sYS1hcmdlbnRpbmEtc29icmUtbGFzLXJlc3RyaWNjaW9uZXMtYS1sb3MtdHJhbnNwb3J0aXN0YXMtZXh0cmFuamVyb3MtcG9yLWVsLWNvdmlkLTE5LWxhLWRlY2lzaW9uLWVzLWRpc2NyaW1pbmF0b3JpYS_SAeABaHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vYW1lcmljYS9hbWVyaWNhLWxhdGluYS8yMDIxLzA0LzE1L3VydWd1YXktcHJlc2VudG8tdW5hLXF1ZWphLWEtbGEtYXJnZW50aW5hLXNvYnJlLWxhcy1yZXN0cmljY2lvbmVzLWEtbG9zLXRyYW5zcG9ydGlzdGFzLWV4dHJhbmplcm9zLXBvci1lbC1jb3ZpZC0xOS1sYS1kZWNpc2lvbi1lcy1kaXNjcmltaW5hdG9yaWEvP291dHB1dFR5cGU9YW1wLXR5cGU?oc=5	infobae	2021-04-15	Uruguay presentó una queja a la Argentina sobre los requisitos para los transportistas extranjeros por el COVID-19: “La decisión es discriminatoria”	1
OEA: la dura respuesta del embajador de Uruguay luego de que su par de Nicaragua acusara al Gobierno de Lacalle Pou de ser una dictadura - infobae	https://news.google.com/__i/rss/rd/articles/CBMiwgFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2FtZXJpY2EtbGF0aW5hLzIwMjEvMDYvMjMvb2VhLWxhLWR1cmEtcmVzcHVlc3RhLWRlbC1lbWJhamFkb3ItZGUtdXJ1Z3VheS1sdWVnby1kZS1xdWUtc3UtcGFyLWRlLW5pY2FyYWd1YS1hY3VzYXJhLWFsLWdvYmllcm5vLWRlLWxhY2FsbGUtcG91LWRlLXNlci11bmEtZGljdGFkdXJhL9IB1gFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2FtZXJpY2EtbGF0aW5hLzIwMjEvMDYvMjMvb2VhLWxhLWR1cmEtcmVzcHVlc3RhLWRlbC1lbWJhamFkb3ItZGUtdXJ1Z3VheS1sdWVnby1kZS1xdWUtc3UtcGFyLWRlLW5pY2FyYWd1YS1hY3VzYXJhLWFsLWdvYmllcm5vLWRlLWxhY2FsbGUtcG91LWRlLXNlci11bmEtZGljdGFkdXJhLz9vdXRwdXRUeXBlPWFtcC10eXBl?oc=5	infobae	2021-06-23	OEA: la dura respuesta del embajador de Uruguay luego de que su par de Nicaragua acusara al Gobierno de Lacalle Pou de ser una dictadura	0
La rebeldía de Uruguay tensa al máximo Mercosur - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vZWxwYWlzLmNvbS9lY29ub21pYS8yMDIxLTA3LTA4L2xhLXJlYmVsZGlhLWRlLXVydWd1YXktdGVuc2EtYWwtbWF4aW1vLW1lcmNvc3VyLmh0bWzSAWpodHRwczovL2VscGFpcy5jb20vZWNvbm9taWEvMjAyMS0wNy0wOC9sYS1yZWJlbGRpYS1kZS11cnVndWF5LXRlbnNhLWFsLW1heGltby1tZXJjb3N1ci5odG1sP291dHB1dFR5cGU9YW1w?oc=5	EL PAÍS	2021-07-08	La rebeldía de Uruguay tensa al máximo Mercosur	0
FIFA intimó a marca que viste a Uruguay a quitar del escudo las dos estrellas de los JJ.OO. - Ovación	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3Lm92YWNpb25kaWdpdGFsLmNvbS51eS9mdXRib2wvZmlmYS1pbnRpbW8tbWFyY2EtdmlzdGUtdXJ1Z3VheS1xdWl0YXItZXNjdWRvLWVzdHJlbGxhcy1qai1vby5odG1s0gEA?oc=5	Ovación	2021-08-03	FIFA intimó a marca que viste a Uruguay a quitar del escudo las dos estrellas de los JJ.OO.	0
Fronteras: más ingresos al país, apertura a Chile y Uruguay y el “cupo especial” que administrará el Gobierno - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvc29jaWVkYWQvZnJvbnRlcmFzLXN1YmEtZGUtaW5ncmVzb3MtYXBlcnR1cmEtYS1jaGlsZS15LXVydWd1YXkteS1lbC1jdXBvLWVzcGVjaWFsLXF1ZS1hZG1pbmlzdHJhcmEtZWwtbmlkMDYwODIwMjEv0gGdAWh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9zb2NpZWRhZC9mcm9udGVyYXMtc3ViYS1kZS1pbmdyZXNvcy1hcGVydHVyYS1hLWNoaWxlLXktdXJ1Z3VheS15LWVsLWN1cG8tZXNwZWNpYWwtcXVlLWFkbWluaXN0cmFyYS1lbC1uaWQwNjA4MjAyMS8_b3V0cHV0VHlwZT1hbXA?oc=5	LA NACION	2021-08-07	Fronteras: más ingresos al país, apertura a Chile y Uruguay y el “cupo especial” que administrará el Gobierno	0
